theta,alpha,alpha0,rho1,rho2,gamma,user
5.0091016509706385,-109.60780583580201,93.82174575843284,-12.378137130659981,6.013735853283426,-5.849207949658162,user_1
6.51141522363855,-127.97061689864421,102.00897682264083,-12.333182799079255,6.0042902367858,-8.069029924133973,user_1
6.483413348184936,-122.40147101409738,99.67177576398953,-12.314912799848942,6.003186689184584,-7.924082787006897,user_1
5.448129453706629,-122.28380534201611,98.8992579544451,-12.362336448616821,6.003618730931709,-7.033580725823015,user_1
6.168514856702113,-125.01367262878568,102.51275572227993,-12.276106463311491,6.00304804945815,-7.441490428306634,user_1
5.789742299009643,-119.72578163652946,100.26196066251019,-12.276834693182257,6.002863479603277,-7.228800392178242,user_1
5.939007393744606,-123.43536565493969,102.23406875762205,-12.341042090816142,5.999369293337849,-6.974910699519419,user_1
5.82227175769132,-102.95634380578272,82.5416808583419,-12.383094863299815,6.014523472428441,-6.743233992002163,user_1
6.5371916534548244,-115.35085509459655,90.97475843451679,-12.3118477411528,5.998471603914125,-7.188412520732692,user_1
5.459501362134407,-126.05181074468308,97.31567176697789,-12.273132558347367,6.003493097910492,-7.195647669824881,user_1
6.6212886009015355,-128.25026480355265,103.499979560241,-12.308968467655237,6.00411655430898,-7.835826651165111,user_1
5.833894367665933,-122.68633352853705,100.70908848604005,-12.3134489055102,6.003572035510368,-7.881133181952459,user_1
6.289064879074873,-127.11615944250642,106.82185890550747,-12.269166585547943,6.003830663403945,-8.111986358523671,user_1
6.446346099711597,-131.20917237926886,104.3852823357288,-12.41102008950611,6.004269832301964,-8.028299108764989,user_1
6.045777815782478,-120.2846946609004,98.0456024279624,-12.320366880438977,5.997113396397493,-7.0285885169351,user_1
6.1398817461619934,-116.47673196319613,97.81143065260166,-12.308097115504165,6.002416565587998,-6.895390763972148,user_1
6.075643183581766,-118.600511768883,95.60779560655489,-12.383133360771643,6.003667752648519,-7.622556403352759,user_1
6.040142992825332,-117.10527935686673,99.65055203608465,-12.326769588271139,6.001451915987156,-7.00517658483391,user_1
6.270649307117095,-129.2465798999598,107.32965476537416,-12.272763988892835,6.004455905520266,-7.6474999351534265,user_1
6.119808868491767,-119.31385874149109,101.99541374966962,-12.303117495059658,6.0011463357521695,-7.017511824487088,user_1
6.153755740998172,-122.87596620984891,99.44468711480155,-12.38344531179004,6.003230986548893,-7.536735679150282,user_1
6.246807199404902,-124.5215083531263,99.29559255429302,-12.279516444754622,6.003047616688313,-7.866754367771415,user_1
6.464523435212468,-123.06978300702143,100.78747619784058,-12.28979125116579,6.003298284674069,-8.175392825753125,user_1
5.247441471828756,-105.73634474969992,89.44365745596106,-12.329099762003219,6.019551438037117,-6.178291499501052,user_1
6.095892099938655,-128.17068356451625,108.5094462921741,-12.259552856823337,6.004108614756442,-8.042807702793066,user_1
6.022981374455011,-111.23785852521162,97.42390647237387,-12.308528647757857,6.007990525229138,-6.518308630711727,user_1
5.047075292267741,-120.20418667341698,102.59062846932598,-12.432704651115086,6.003099014229042,-6.463640703811545,user_1
5.631470599361343,-130.04502251862428,111.42068781330764,-12.230052448991614,6.007246144946746,-7.282947503154189,user_1
6.126971521995003,-128.8956315429361,105.10712143955449,-12.391563593003838,6.0042951742267965,-7.582270202937956,user_1
6.083469131127451,-122.79371487023994,100.87409054947632,-12.330621674648286,5.995958364476547,-7.265075394631588,user_1
5.715332619356517,-127.63891691878123,105.09535161432811,-12.339639287560018,6.005421193645578,-7.610653244612253,user_1
5.1630261333490095,-107.98689453770238,92.57007269805935,-12.374272107003732,6.014115748046501,-6.359938625805525,user_1
4.892358295831233,-122.46182729968132,99.94336894444169,-12.329308313515087,6.003295722224139,-6.568451929832588,user_1
5.99817818163737,-116.1651001825138,98.49939802009924,-12.278270495264785,6.002611443704723,-6.83465962033253,user_1
5.638587937609528,-128.72462641237166,104.19846659570214,-12.193591599484542,6.004731579546465,-8.531594768520916,user_1
6.0980384065047275,-125.18152016430436,102.64960578619596,-12.299432165017894,6.002817397389954,-7.272487802933932,user_1
6.09313634665334,-110.8484015166165,83.07183212809097,-12.39487065899915,6.010265952862168,-6.696983304571848,user_1
5.775496284640384,-119.64353494555006,101.58784965429487,-12.272012615934893,5.998775024493768,-7.1020422103289444,user_1
6.21644728488031,-113.44722707732463,92.12699439418249,-12.283590249267291,6.001083419040852,-6.899691924358995,user_1
6.310183387135845,-126.58628624845643,100.70502318374332,-12.293016631093229,6.003438877491756,-8.21280470246316,user_1
5.881171246320312,-130.26508793855112,111.49257308986688,-12.374342942319768,6.0087919409850725,-6.964182305061288,user_1
6.061610127816903,-131.13767058833687,103.28847735695648,-12.323920673706295,6.004275825347185,-8.102409245899851,user_1
5.861285214257953,-109.89308859470384,93.44024476562055,-12.303387313071147,6.0100017566230886,-6.180064243990399,user_1
6.167058588012761,-120.14499179701271,100.25320330134373,-12.378781310970744,6.0002850070293166,-7.044642400193752,user_1
5.7971097986781555,-128.5928512574349,107.19314888403507,-12.302157725714068,6.004340867346357,-8.30931278282746,user_1
5.664658872900714,-104.61126231205056,92.96175338682373,-12.414014481840912,6.019503305568468,-6.2005336160819455,user_1
4.786402432358294,-117.70196333383369,100.11677026520223,-12.369992676558436,6.003114477256322,-6.78204887254768,user_1
